decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2022-09-19,2022-09-20,True,False,False,0.39601236648430077,0.40000000000000002,0.40148067174744334,0.0014806717474433184,0.034865028722391313,-0.034111439231481855,-0.013646036161202413,0.60398763351569928,0.39601236648430077,0,0,0,0
2022-09-20,2022-09-21,True,False,False,0.39607148908634021,0.40000000000000002,0.39170000466991484,0.0082999953300851859,0.034871610299806503,-0.020315381191581383,-0.0081343850249349092,0.60392851091365984,0.39607148908634021,0,0,0,0
2022-09-21,2022-09-22,True,False,False,0.39599530130581745,0.40000000000000002,0.39508436330068208,0.0049156366993179379,0.034868343932100275,0.049488885283141437,0.019790541168805076,0.6040046986941825,0.39599530130581745,0,0,0,0
2022-09-22,2022-09-23,True,False,False,0.39598961128678167,0.40000000000000002,0.41164677804295946,0.011646778042959438,0.034874840401626778,-0.0056947021232734985,-0.002289501097379687,0.60401038871321833,0.39598961128678167,0,0,0,0
2022-09-23,2022-09-24,True,False,False,0.39601156592634473,0.40000000000000002,0.39863015113792499,0.0013698488620750293,0.034864921763190719,-0.019089330603571097,-0.0076370916304914216,0.60398843407365532,0.39601156592634473,0,0,0,0
2022-09-24,2022-09-25,True,False,False,0.39603488851976415,0.40000000000000002,0.39538330883758538,0.0046166911624146434,0.034868055408880792,-0.0064464312134085988,-0.0025831772720529278,0.60396511148023591,0.39603488851976415,0,0,0,0
2022-09-25,2022-09-26,True,False,False,0.39601232170226186,0.40000000000000002,0.39844885677353736,0.001551143226462659,0.034865096736980891,0.022469579646017701,0.0089862667737661273,0.60398767829773814,0.39601232170226186,0,0,0,0
2022-09-26,2022-09-27,True,False,False,0.39601788554672629,0.40000000000000002,0.40534466218994109,0.0053446621899410629,0.034868758000217895,-0.0075263839548105338,-0.0030158821537222824,0.60398211445327366,0.39601788554672629,0,0,0,0
2022-09-27,2022-09-28,True,False,False,0.39613973892553328,0.40000000000000002,0.39818821337011723,0.0018117866298827945,0.03486534829341701,0.017294691053928002,0.0069160521012252563,0.60386026107446666,0.39613973892553328,0,0,0,0
2022-09-28,2022-09-29,True,False,False,0.39610512699588879,0.40000000000000002,0.40412220892104311,0.0041222089210430912,0.034867578166070445,0.0093761269383338952,0.0037463131062709376,0.60389487300411115,0.39610512699588879,0,0,0,0
2022-09-29,2022-09-30,True,False,False,0.3962786155238765,0.40000000000000002,0.40224186247035992,0.002241862470359901,0.03486576337526559,-0.008676568162098719,-0.0034728613466408209,0.60372138447612345,0.3962786155238765,0,0,0,0
2022-09-30,2022-10-01,True,False,False,0.38688345963395626,0.40000000000000002,0.39791037131882206,0.0020896286811779574,0.03352726575841479,-0.0057200226535549792,-0.0022900939090139127,0.61311654036604379,0.38688345963395626,0,0,0,0
2022-10-01,2022-10-02,True,False,False,0.38621824556039452,0.40000000000000002,0.39862404636877047,0.0013759536312295539,0.0335265760094966,-0.013447666982534079,-0.0053804353452983067,0.61378175443960548,0.38621824556039452,0,0,0,0
2022-10-02,2022-10-03,True,False,False,0.38618207282403982,0.40000000000000002,0.39675510541950704,0.0032448945804929852,0.033528382293740389,0.030237977766347068,0.01209190696433815,0.61381792717596029,0.38618207282403982,0,0,0,0
2022-10-03,2022-10-04,True,False,False,0.38616652121096456,0.40000000000000002,0.40717038745731915,0.0071703874573191273,0.033532176183502162,0.036269060489191762,0.014500349782932798,0.61383347878903549,0.38616652121096456,0,0,0,0
2022-10-04,2022-10-05,True,False,False,0.38859027656908729,0.40000000000000002,0.40858009768463516,0.0085800976846351351,0.033533538632847061,-0.0089822125642815553,-0.0036014342960928314,0.61140972343091271,0.38859027656908729,0,0,0,0
2022-10-05,2022-10-06,True,False,False,0.39483161536133388,0.40000000000000002,0.39783649576259478,0.0021635042374052449,0.033527337157274802,-0.0099615527719211228,-0.0039867759922611601,0.60516838463866618,0.39483161536133388,0,0,0,0
2022-10-06,2022-10-07,True,False,False,0.39453848747285458,0.40000000000000002,0.39759966290086557,0.002400337099134453,0.033527566050256481,-0.021316149463588729,-0.0085288396561569169,0.60546151252714542,0.39453848747285458,0,0,0,0
2022-10-07,2022-10-08,True,False,False,0.38983928616009444,0.40000000000000002,0.39484012869354623,0.0051598713064537893,0.033530233070400185,-0.0059545447563653653,-0.0023869654839786536,0.61016071383990567,0.38983928616009444,0,0,0,0
2022-10-08,2022-10-09,True,False,False,0.38702377086573908,0.40000000000000002,0.39856749729789098,0.0014325027021090397,0.033526630662745915,0.0013391707442698131,0.00053423502765959086,0.61297622913426097,0.38702377086573908,0,0,0,0
2022-10-09,2022-10-10,True,False,False,0.38675997374516796,0.40000000000000002,0.4003212289064832,0.00032122890648317304,0.033525556644677858,-0.015760506146803244,-0.0063045216625357003,0.61324002625483198,0.38675997374516796,0,0,0,0
2022-10-10,2022-10-11,True,False,False,0.38645860003270732,0.40000000000000002,0.39619348146123601,0.0038065185387640144,0.033528925089117256,-0.0039457318156638221,-0.0015820932370038676,0.61354139996729262,0.38645860003270732,0,0,0,0
