cohort,beta,grid_step,decision_date,regime,K,advice_differs,desired_differs,actual_pair_capacity,projection_merge,fallback_used,executed_CASH,executed_ABSTAIN,executed_BTC
fixed_memory,0.05,0.05,2022-08-02,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-03,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-04,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-05,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-06,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-07,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-08,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-09,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-10,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-11,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-12,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-13,bear,2,False,False,False,False,False,0.4,0.45,0.45
fixed_memory,0.05,0.05,2022-08-14,bear,2,False,False,False,False,False,0.4,0.45,0.45
fixed_memory,0.05,0.05,2022-08-15,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-16,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-17,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-18,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-19,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-20,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-21,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-22,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-23,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-24,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-25,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-26,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-27,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-28,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-29,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-30,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-31,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-01,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-02,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-03,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-04,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-05,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-06,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-07,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-08,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-09,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-10,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-11,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-12,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-13,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-14,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-15,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-16,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-17,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-18,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-19,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-20,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-21,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-22,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-23,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-24,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-25,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-09-26,bear,2,False,False,False,False,False,0.4,0.4,0.45
