decision_date,return_date,hard_regime,asset_simple_return,desired_exposure_no_controller,counterfactual_pretrade_exposure,counterfactual_turnover,fee_fraction,counterfactual_net_return,wealth_before,wealth_after,original_controller_exposure,action,beta,retrieved_memory_count,cited_memory_count,projection_changes_selected_target
2023-05-31,2023-06-01,mix,-0.0145906283413126,0.4760009135445244,0.47582001631592813,0.00018089722859626622,1.8089722859626624e-07,-0.006945332060523279,1.1565549926805063,1.148522334210084,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-01,2023-06-02,mix,0.015873075058727,0.4760713962323915,0.4723362080833308,0.003735188149060653,3.735188149060653e-06,0.0075529535918008595,1.148522334210084,1.1571970700995196,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-02,2023-06-03,mix,-0.0063388475556713,0.4761491952859918,0.4800008824072586,0.003851687121266767,3.851687121266767e-06,-0.00302207722448955,1.1571970700995196,1.1536999311897258,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-03,2023-06-04,mix,0.0018580082742316,0.4760560077770951,0.47456330271962777,0.0014927050574673473,1.4927050574673474e-06,0.0008830219760684876,1.1536999311897258,1.154718673582755,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-04,2023-06-05,mix,-0.0506926035033901,0.4761075774853808,0.4765190350670315,0.00041145758165073154,4.1145758165073155e-07,-0.02413553417742431,1.154718673582755,1.1268489215711883,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-05,2023-06-06,mix,0.0575902809604076,0.4761348544278604,0.4631506471408294,0.012984207287031035,1.2984207287031035e-05,0.027407399797683585,1.1268489215711883,1.1577329204762785,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-06,2023-06-07,mix,-0.0325998340078296,0.4752724457352166,0.49011624434313317,0.01484379860791657,1.4843798607916569e-05,-0.015508416651182189,1.1577329204762785,1.1397783159747423,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-07,2023-06-08,mix,0.0060206890006642,0.4761202382916401,0.46701447306459193,0.009105765227048146,9.105765227048147e-06,0.002857440014118362,1.1397783159747423,1.143035164142033,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-08,2023-06-09,mix,-0.0008226073634679,0.4760793828463348,0.4776176847480263,0.001538301901691519,1.538301901691519e-06,-0.00039316410538658975,1.143035164142033,1.1425857637442978,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-09,2023-06-10,mix,-0.0239923260811274,0.4760501366720476,0.47587412131221213,0.00017601535983546857,1.7601535983546858e-07,-0.011421724114992649,1.1425857637442978,1.1295354643730922,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-10,2023-06-11,mix,0.0032657483361708,0.4760882619938896,0.46999667716178384,0.006091584832105756,6.091584832105757e-06,0.0015486833935434152,1.1295354643730922,1.131284757189185,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-11,2023-06-12,mix,-0.0008330633590967,0.475996936495398,0.47690156730259337,0.0009046308071953835,9.046308071953835e-07,-0.0003974398789254874,1.131284757189185,1.1308351395122576,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-12,2023-06-13,mix,0.0008723578365525,0.4760747125179273,0.4757890681954445,0.00028564432248284755,2.8564432248284755e-07,0.00041502174329655084,1.1308351395122576,1.131304460683239,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-13,2023-06-14,mix,-0.0308491519279274,0.4760474725819721,0.4762922122932433,0.0002447397112712024,2.4473971127120244e-07,-0.014685901952133928,1.131304460683239,1.114690234295633,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-14,2023-06-15,mix,0.0183768081338664,0.4761018099132582,0.4682381991447114,0.007863610768546803,7.863610768546803e-06,0.008741299201642017,1.114690234295633,1.1244340751507595,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-15,2023-06-16,mix,0.0293068347446201,0.4746248194073857,0.48064576044430496,0.006020941036919247,6.020941036919247e-06,0.013903646457239072,1.1244340751507595,1.1400678089961283,0.45000000000000001,ABSTAIN,0.050000000000000003,0,0,True
2023-06-16,2023-06-17,mix,0.0065942075751765,0.4754996334148821,0.48183240175200703,0.006332768337124928,6.332768337124928e-06,0.0031291906596515595,1.1400678089961283,1.1436352985354084,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-06-17,2023-06-18,mix,-0.0066113520648689,0.475898679758213,0.4771390864412016,0.0012404066829886373,1.2404066829886373e-06,-0.003147570223037466,1.1436352985354084,1.1400356261237237,0.5,ABSTAIN,0.050000000000000003,0,0,True
