decision_date,return_date,strategy,forecast_regime,asset_simple_return,net_return,gross_return_before_cost,pretrade_btc_fraction,btc_fraction,cash_fraction,turnover,cost_fraction_pretrade_wealth,cost_paid_in_initial_wealth_units,wealth_before,wealth_after,running_peak_wealth,drawdown_from_running_peak
2022-06-27,2022-06-28,NO_MEMORY,bear,-0.0218135859760156,-0.007638133906013644,-0.007634755091605461,0.346595190706724,0.35000000000000003,0.6499999999999999,0.0034048092932760232,3.404809293276023e-06,3.2250370297645417e-06,0.9472004896525323,0.9399656454767246,1.5365569825217902,0.388265026179467
2022-06-28,2022-06-29,NO_MEMORY,bear,-0.0082207318275964,-0.0028822425216284975,-0.00287725613965874,0.3449992295326691,0.35000000000000003,0.6499999999999999,0.0050007704673309394,5.000770467330939e-06,4.700552440205668e-06,0.9399656454767246,0.9372564365244616,1.5365569825217902,0.3900281947329798
2022-06-29,2022-06-30,NO_MEMORY,bear,-0.0091838916430067,-0.0032162316592628803,-0.003214362075052345,0.3481243868898852,0.35000000000000003,0.6499999999999999,0.0018756131101148599,1.87561311011486e-06,1.7579304598848161e-06,0.9372564365244616,0.9342420027004636,1.5365569825217902,0.39199000536433737
2022-06-30,2022-07-01,NO_MEMORY,bear,-0.0333072375618518,-0.011659604784494904,-0.01165753314664813,0.3479039271140248,0.35000000000000003,0.6499999999999999,0.002096072885975242,2.096072885975242e-06,1.9582393307996507e-06,0.9342420027004636,0.9233491101759013,1.5365569825217902,0.399079161606812
2022-07-01,2022-07-02,NO_MEMORY,bear,-0.001022691287397,-0.0003656059785258625,-0.00035794195058895,0.34233322780367226,0.35000000000000003,0.6499999999999999,0.007666772196327776,7.666772196327776e-06,7.079107285400592e-06,0.9233491101759013,0.9230115282209544,1.5365569825217902,0.39929886185794927
2022-07-02,2022-07-03,NO_MEMORY,bear,0.0034661594745157,0.0012129227881465532,0.0012131558160804951,0.34976725442271134,0.35000000000000003,0.6499999999999999,0.0002327455772886955,2.327455772886955e-07,2.148268509799071e-07,0.9230115282209544,0.9241310699372556,1.5365569825217902,0.3985702577586313
2022-07-03,2022-07-04,NO_MEMORY,bear,0.0469137592633828,0.016419015214202082,0.016419815742183982,0.350787595804022,0.35000000000000003,0.6499999999999999,0.0007875958040219899,7.875958040219899e-07,7.278417530489346e-07,0.9241310699372556,0.9393043920344722,1.5365569825217902,0.38869537367049656
2022-07-04,2022-07-05,NO_MEMORY,bear,-0.0007518871377834,-0.00027365819945612824,-0.00026316049822419006,0.3605004645394741,0.35000000000000003,0.6499999999999999,0.010500464539474064,1.0500464539474063e-05,9.86313246033022e-06,0.9393043920344722,0.9390473436858069,1.5365569825217902,0.3888626621938571
2022-07-05,2022-07-06,NO_MEMORY,bear,0.0178460045741215,0.006245929432888042,0.006246101600942525,0.349828900649564,0.35000000000000003,0.6499999999999999,0.00017109935043602142,1.7109935043602142e-07,1.6067039053331294e-07,0.9390473436858069,0.9449125671286094,1.5365569825217902,0.3850455415081169
2022-07-06,2022-07-07,NO_MEMORY,bear,0.0523658753665903,0.018323947664423912,0.018328056378306607,0.3540347644916619,0.35000000000000003,0.6499999999999999,0.004034764491661846,4.034764491661846e-06,3.8124996735755537e-06,0.9449125671286094,0.9622270955561305,1.5365569825217902,0.3737771481947074
