scope,forecast_regime,strategy,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution
2022,mix,BTC_BUY_AND_HOLD,44,-0.008883691953562445,-0.009495418737078369,0.034530693168913405,0.6599338554033586,-4.9168086460050535,0.115993086398663,0.4772727272727273,-0.419794656682885
2022,bear,STATIC45_REBALANCED_SECONDARY,321,-0.000606653832399614,-0.0007188785178958069,0.014988448763326613,0.2864519611729848,-0.7735339334966165,0.03785316612054284,0.45482866043613707,-0.2308429882221238
2022,mix,STATIC45_REBALANCED_SECONDARY,44,-0.004002869141044121,-0.004123364832108419,0.015540007095217665,0.2969930764255565,-4.922835142700163,0.052209945364661614,0.4772727272727273,-0.18180313105051393
2022,bear,STATIC50_REBALANCED,321,-0.0006734852402184346,-0.0008120810887630213,0.016653863271845495,0.3182805552899717,-0.7728731143053081,0.04205837291007125,0.45482866043613707,-0.26078393268046574
2022,mix,STATIC50_REBALANCED,44,-0.0044471058163296695,-0.004596224351822506,0.017266543671162912,0.32998980584204607,-4.9222896303406,0.058009696546766035,0.4772727272727273,-0.2027000566120634
2023,bull,MEMORY,180,0.001001660223604187,0.0009397145367052861,0.011190127733582335,0.21386029239422352,1.7107261594734042,0.022656534227654332,0.5055555555555555,0.16906919065459367
2023,bear,MEMORY,1,0.001958183123027757,0.001958183123027757,,,,-0.001958183123027757,1.0,0.001956268381658126
2023,mix,MEMORY,184,0.0017334240258584305,0.0016708499809720068,0.011276859831618915,0.21551787417413493,2.9377290763977673,0.020573622276620348,0.5,0.30717984218631933
2023,bull,NO_MEMORY,180,0.0009936416454176423,0.0009309149604840828,0.01126011422003693,0.21519784016965293,1.686483520014313,0.022656534227654332,0.5055555555555555,0.16748674701763933
2023,bear,NO_MEMORY,1,0.001958183123027757,0.001958183123027757,,,,-0.001958183123027757,1.0,0.001956268381658126
2023,mix,NO_MEMORY,184,0.0017334240258584305,0.0016708499809720068,0.011276859831618915,0.21551787417413493,2.9377290763977673,0.020573622276620348,0.5,0.30717984218631933
2023,bull,CASH,180,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,bear,CASH,1,0.0,0.0,,,,0.0,0.0,0.0
2023,mix,CASH,184,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,bull,BTC_BUY_AND_HOLD,180,0.0020052234008312163,0.0017516195981499391,0.02268869508526316,0.4336153331311801,1.6890727591776118,0.04581898603457075,0.5055555555555555,0.3150157142906004
2023,bear,BTC_BUY_AND_HOLD,1,0.0048979888011415,0.004897988801141501,,,,-0.0048979888011415,1.0,0.004886032678735658
2023,mix,BTC_BUY_AND_HOLD,184,0.0036362025506278604,0.003367671640208239,0.023462647766173402,0.4484067412883924,2.961871130217119,0.04315945644896499,0.5,0.6186105269015085
2023,bull,STATIC45_REBALANCED_SECONDARY,180,0.0008983513129782362,0.0008467499256256264,0.010209838930578719,0.19512548837478608,1.6815989535670548,0.020623560666820622,0.5055555555555555,0.15235049432664802
2023,bear,STATIC45_REBALANCED_SECONDARY,1,0.0022030504506085347,0.0022030504506085347,,,,-0.0022030504506085347,1.0,0.0022006272932039777
2023,mix,STATIC45_REBALANCED_SECONDARY,184,0.0016326649347191322,0.0015777371772604817,0.010557562363708932,0.20177100993200464,2.955483384888256,0.019426367961348143,0.5,0.29007486978789815
2023,bull,STATIC50_REBALANCED,180,0.000998573447593487,0.00093489760841971,0.01134426596635548,0.21680610751937765,1.6822817212422045,0.022914539702926957,0.5055555555555555,0.16820295549066772
2023,bear,STATIC50_REBALANCED,1,0.0024479388600029406,0.0024479388600029406,,,,-0.0024479388600029406,1.0,0.00244494753839218
2023,mix,STATIC50_REBALANCED,184,0.001814439487121025,0.0017466922645143304,0.011730683145274985,0.22419112517399034,2.956067159913789,0.021584372432328754,0.5,0.32111101717524626
2024,bull,MEMORY,153,0.00197648083739396,0.0018691463907338605,0.014737277858726739,0.28165170469892803,2.5631289064265736,0.02995738879413019,0.5294117647058824,0.2857124616793624
2024,bear,MEMORY,21,0.005695413758606446,0.0056235671037901235,0.012394998876947031,0.2368872051473317,8.781605042945209,0.016102799501383228,0.6666666666666666,0.11776409152709522
2024,mix,MEMORY,192,1.445573773026868e-05,-4.311893901439595e-05,0.010765777590989917,0.2057503183409343,0.025661968586758586,0.023330675594630503,0.5052083333333334,-0.008279014783213544
2024,bull,NO_MEMORY,153,0.001962967937501475,0.0018548124222977826,0.014792422884601884,0.28270560968004393,2.5361153603703124,0.03033693218801418,0.5294117647058824,0.28352344042110833
2024,bear,NO_MEMORY,21,0.005695413758606446,0.0056235671037901235,0.012394998876947031,0.2368872051473317,8.781605042945209,0.016102799501383228,0.6666666666666666,0.11776409152709522
2024,mix,NO_MEMORY,192,1.445573773026868e-05,-4.311893901439595e-05,0.010765777590989917,0.2057503183409343,0.025661968586758586,0.023330675594630503,0.5052083333333334,-0.008279014783213544
2024,bull,CASH,153,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024,bear,CASH,21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024,mix,CASH,192,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024,bull,BTC_BUY_AND_HOLD,153,0.0040947514229131825,0.0036201551364950964,0.031063852430144378,0.5936772771292519,2.519227221313079,0.06274042160731622,0.5294117647058824,0.5528835764527457
2024,bear,BTC_BUY_AND_HOLD,21,0.014727883403720046,0.014283244710553708,0.031218839827655616,0.5966393210789113,9.016099380579165,0.04015407932711463,0.6666666666666666,0.2978262041281901
2024,mix,BTC_BUY_AND_HOLD,192,-4.1884202278222515e-06,-0.0002930483189018845,0.024128415323664484,0.46113056785243917,-0.0033175430016203493,0.05183492424166136,0.5052083333333334,-0.056273523062605205
2024,bull,STATIC45_REBALANCED_SECONDARY,153,0.0018371556211605202,0.0017405670353681784,0.013978606918315314,0.267152353752248,2.511754364893869,0.028238261331178405,0.5294117647058824,0.26607526261196945
2024,bear,STATIC45_REBALANCED_SECONDARY,21,0.006621441634025121,0.006529315633474443,0.014048979469772443,0.2684972798147078,9.00747135500475,0.018076226973955,0.6666666666666666,0.13666993170578748
2024,mix,STATIC45_REBALANCED_SECONDARY,192,-6.337318633339977e-06,-6.4898311107223e-05,0.01085794220595785,0.20751172374887178,-0.011154577625834074,0.023330675594630503,0.5052083333333334,-0.012460880081996625
2024,bull,STATIC50_REBALANCED,153,0.002041840235882133,0.0019226546927219653,0.015531783832481652,0.296835917417632,2.5124390358282485,0.0313753091314858,0.5294117647058824,0.2938837399545797
2024,bear,STATIC50_REBALANCED,21,0.007357761092107787,0.007244270111993487,0.015609916577547062,0.2983291525355034,9.008245476688856,0.02008397769276251,0.6666666666666666,0.1515812849840374
